fname,reachOrNot
shallow_03-22-2024_14-00.output,1
shallow_03-19-2024_15-19.output,0
shallow_03-21-2024_14-16.output,0
shallow_03-25-2024_11-46.output,0
shallow_03-25-2024_14-28.output,1
shallow_03-22-2024_15-47.output,1
shallow_03-19-2024_14-33.output,1
shallow_03-21-2024_16-25.output,1
shallow_03-22-2024_10-07.output,0
shallow_03-22-2024_14-43.output,0
shallow_03-19-2024_16-04.output,1
shallow_03-19-2024_09-41.output,1
shallow_03-21-2024_10-03.output,1
shallow_03-19-2024_16-25.output,1
shallow_03-19-2024_15-41.output,1
shallow_03-21-2024_13-54.output,0
shallow_03-19-2024_14-55.output,0
shallow_03-25-2024_10-41.output,1
shallow_03-22-2024_12-21.output,1
shallow_03-21-2024_15-42.output,1
shallow_03-21-2024_12-25.output,1
shallow_03-22-2024_11-38.output,1
shallow_03-21-2024_14-58.output,1
shallow_03-19-2024_12-18.output,1
shallow_03-19-2024_11-37.output,0
shallow_03-21-2024_13-09.output,1
shallow_03-22-2024_16-08.output,0
shallow_03-25-2024_11-22.output,1
shallow_03-22-2024_11-59.output,1
shallow_03-19-2024_13-55.output,1
