fname,reachOrNot
gradient_03-10-2021_12-20.output,0
gradient_03-10-2021_15-28.output,1
gradient_12-18-2020_15-10.output,0
gradient_03-09-2021_12-06.output,1
gradient_12-17-2020_17-59.output,0
gradient_03-09-2021_11-42.output,1
gradient_12-17-2020_17-16.output,0
gradient_12-17-2020_18-23.output,0
gradient_12-21-2020_16-18.output,1
gradient_03-10-2021_13-03.output,0
gradient_12-21-2020_16-39.output,0
gradient_12-23-2020_14-20.output,0
gradient_03-10-2021_12-42.output,1
gradient_03-10-2021_11-59.output,1
gradient_12-21-2020_16-46.output,0
gradient_12-17-2020_17-37.output,0
gradient_12-21-2020_15-57.output,1
gradient_12-18-2020_15-33.output,0
gradient_12-18-2020_14-48.output,1
gradient_03-09-2021_14-11.output,1
