all_turns,all_peak_times,angle1,angle2,turn_lengths,all_temp_diffs,all_curve,all_casts,all_fnames
8.500391344132625,0.8,0.14835410549193373,2.3655601424449717,1.4,0.1635342635203898,3.47954928565406,0,gradient_11-18-2020_15-46.mp4
4.139801667846607,2.2,2.4657000137375267,0.3223163744045472,0.9333333333333333,-0.050765943981254225,3.0416921445815706,0,gradient_11-18-2020_15-46.mp4
2.83230815292287,3.2,-0.33918949499589246,2.4931186579269777,0.4666666666666667,0.007234101489252964,8.77147635456981,0,gradient_11-18-2020_15-46.mp4
-1.1174703344700117,5.333333333333333,-2.119499108853441,3.0462158638561334,0.6666666666666666,0.15921324362123812,1.0946970935183098,0,gradient_11-18-2020_15-46.mp4
1.1345216226232173,82.06666666666666,-1.256348099843695,-0.1218264772204769,0.6666666666666666,-0.1676155687067542,1.1490641241282682,0,gradient_11-17-2020_15-49.mp4
0.725184866778469,2.533333333333333,0.8783701938566217,1.6035550606350917,0.4,-0.05346877862012178,1.0538606703075841,0,gradient_11-16-2020_17-04.mp4
-1.1880196371440173,2.4,-1.134549389659215,-2.322569026803232,0.7333333333333333,0.0649753530125281,1.2627007153015508,0,gradient_11-17-2020_14-13.mp4
-2.577912544783934,9.333333333333334,1.5165603328864954,-1.0613522118974386,0.6666666666666666,-0.06387877283444965,1.365022963207022,0,gradient_11-17-2020_14-13.mp4
-0.9614355513112403,22.066666666666666,-1.2208415122585567,-2.182277063569797,0.6,0.06134217698817679,1.0096447499760768,0,gradient_11-17-2020_14-13.mp4
1.371504860449221,22.8,-2.1730358997872674,-0.8015310393380464,0.7333333333333333,-0.10840430811838075,1.3838652408450098,0,gradient_11-17-2020_14-13.mp4
-4.304042052128689,27.066666666666666,-1.6208794130373907,0.3582638420135069,0.6666666666666666,-0.0649138187141105,1.5521150552865641,0,gradient_11-17-2020_14-13.mp4
-3.609388347933167,127.66666666666667,-2.8614775157946863,-0.18768055654826732,1.8,-0.1408364151769348,1.4187653561053957,0,gradient_11-17-2020_14-13.mp4
3.606779835900687,134.26666666666668,-2.849587687753072,0.7571921481476149,0.7333333333333333,-0.10764906080135006,1.2604603683033193,0,gradient_11-17-2020_14-13.mp4
3.6408282163921326,139.4,0.060862051772589965,-2.5814950390148637,0.7333333333333333,0.11845275708380143,1.3050822869198302,0,gradient_11-17-2020_14-13.mp4
-3.7684286011676233,144.53333333333333,-2.390629578061385,0.12412712795057779,0.8666666666666667,-0.11195391022813794,1.4756254480759148,0,gradient_11-17-2020_14-13.mp4
0.7540540691144724,149.26666666666668,2.09768152732895,2.8517355964434223,0.4,0.04586536063063562,1.0014960235616308,0,gradient_11-17-2020_14-13.mp4
-2.363226174166038,157.33333333333334,-2.6440791021280026,1.2758800308855456,1.3333333333333333,-0.015012826881800834,1.3904444606469972,0,gradient_11-17-2020_14-13.mp4
2.050639742397574,167.0,0.9664316008751523,3.0170713432727263,0.6,0.09918698882299637,1.0719444654722794,0,gradient_11-17-2020_14-13.mp4
-1.3107927928927272,271.3333333333333,0.011353393149964752,-1.2994393997427627,1.2,-0.3987307754815532,1.3275962948763722,0,gradient_11-17-2020_14-13.mp4
-0.6146786886677837,0.26666666666666666,2.3355170858804577,1.720838397212674,0.6,0.02317427751665946,1.499374085009594,0,gradient_11-19-2020_17-21.mp4
1.7734965932808935,10.266666666666667,0.4791995021176838,2.252696095398578,0.5333333333333333,0.09620620191941498,1.0032357723912466,0,gradient_11-19-2020_17-21.mp4
-1.595008382703206,11.866666666666667,2.5213523338772728,0.9263439511740668,0.8,-0.1467495952256428,1.0586493021345889,0,gradient_11-19-2020_17-21.mp4
2.5349487309342997,12.666666666666666,0.9619702317804482,-2.7862663444648383,0.7333333333333333,-0.004468525019888148,1.8791005602864048,0,gradient_11-19-2020_17-21.mp4
2.1639701489151397,1.0666666666666667,-0.5416046620052248,1.6223654869099153,0.7333333333333333,0.00732490730270996,1.9634502293681224,0,gradient_11-17-2020_14-56.mp4
-1.113747124325208,11.533333333333333,-0.32232085146918443,-1.4360679757943924,0.8666666666666667,-0.12682569583792258,1.180365145488894,0,gradient_11-17-2020_14-35.mp4
0.869269449544614,20.0,-0.37936055095919485,0.48990889858541564,0.4666666666666667,-0.1473491888234335,1.147668973389621,0,gradient_11-19-2020_17-56.mp4
1.6670736054299944,45.53333333333333,-0.886799954025637,0.7802736514043538,1.2,-0.059689258529505906,1.0495092480470707,0,gradient_11-19-2020_17-56.mp4
-1.173520021972763,48.2,0.7996354216468227,-0.3738846003259404,0.6666666666666666,-0.24211280097170373,1.1760606097086717,0,gradient_11-19-2020_17-56.mp4
-3.947380403312759,4.0,2.1733820111933886,-1.7739983921193705,1.0,-0.05636951735712259,1.557847914849391,0,gradient_11-18-2020_14-41.mp4
-1.5786033411312057,5.733333333333333,0.4795943386865784,-1.0990090024446273,0.6,-0.02912823341619486,1.179548095159943,0,gradient_11-18-2020_14-41.mp4
2.832556967655752,6.533333333333333,-1.1953451254620668,1.6372118421936852,0.8,-0.04799049848472592,1.7531014859244327,0,gradient_11-18-2020_14-41.mp4
-2.146959912859441,8.666666666666666,1.4716649174821033,-0.6752949953773375,1.2,-0.026227981658781374,2.4277906298498033,0,gradient_11-18-2020_14-41.mp4
-4.858460125891485,27.2,2.2779370946038098,-2.5805230312876755,3.3333333333333335,0.01845592598493795,4.192929634191776,0,gradient_11-18-2020_14-41.mp4
1.7726474145586377,29.266666666666666,-2.619255581818301,-0.8466081672596633,0.7333333333333333,-0.12007380653004418,1.0155930270088096,0,gradient_11-18-2020_14-41.mp4
