fname,effx
shallow_03-22-2024_11-17.output,0.22234986770845785
shallow_03-25-2024_13-45.output,0.6163455906169716
shallow_03-19-2024_11-16.output,0.6284506795726279
shallow_03-22-2024_10-56.output,0.7475015663323631
shallow_03-22-2024_13-14.output,0.49461106261144144
shallow_03-25-2024_10-19.output,0.6611460397021038
shallow_03-25-2024_13-24.output,0.3953897464122965
shallow_03-19-2024_10-55.output,0.8547018120589761
shallow_03-21-2024_12-04.output,0.44174833801217395
shallow_03-21-2024_09-42.output,0.4436588925422846
shallow_03-22-2024_15-04.output,0.5846383933874101
shallow_03-22-2024_13-38.output,0.5475638436440955
shallow_03-22-2024_10-33.output,0.3580587470630653
shallow_03-19-2024_10-08.output,0.47304408617299903
shallow_03-22-2024_15-26.output,0.4310868015751987
shallow_03-21-2024_13-32.output,0.6798211263575136
shallow_03-25-2024_13-03.output,0.5100537509320632
shallow_03-25-2024_14-07.output,0.4305402387615658
shallow_03-21-2024_16-04.output,0.36843852799004156
shallow_03-21-2024_11-36.output,0.515769126388523
shallow_03-19-2024_10-29.output,0.5650931308497501
shallow_03-25-2024_15-11.output,0.4225960175033287
shallow_03-22-2024_12-42.output,0.30028334630280473
shallow_03-21-2024_11-14.output,0.5665347154572311
shallow_03-21-2024_12-46.output,0.4025034025902643
shallow_03-21-2024_10-24.output,0.35396706585413
shallow_03-21-2024_14-37.output,0.6535583457938099
shallow_03-21-2024_10-49.output,0.4258054672688698
shallow_03-19-2024_11-58.output,0.7043906701762366
shallow_03-22-2024_14-21.output,0.383852252176554
shallow_03-21-2024_15-19.output,0.4710370134272263
