fname,reachOrNot
shallow_03-22-2024_11-17.output,1
shallow_03-25-2024_13-45.output,1
shallow_03-19-2024_11-16.output,1
shallow_03-22-2024_10-56.output,1
shallow_03-22-2024_13-14.output,1
shallow_03-25-2024_10-19.output,1
shallow_03-25-2024_13-24.output,1
shallow_03-19-2024_10-55.output,1
shallow_03-21-2024_12-04.output,1
shallow_03-21-2024_09-42.output,1
shallow_03-22-2024_15-04.output,1
shallow_03-22-2024_13-38.output,1
shallow_03-22-2024_10-33.output,1
shallow_03-19-2024_10-08.output,1
shallow_03-22-2024_15-26.output,1
shallow_03-21-2024_13-32.output,1
shallow_03-25-2024_13-03.output,1
shallow_03-25-2024_14-07.output,1
shallow_03-21-2024_16-04.output,1
shallow_03-21-2024_11-36.output,1
shallow_03-19-2024_10-29.output,1
shallow_03-25-2024_15-11.output,1
shallow_03-22-2024_12-42.output,1
shallow_03-21-2024_11-14.output,1
shallow_03-21-2024_12-46.output,1
shallow_03-21-2024_10-24.output,1
shallow_03-21-2024_14-37.output,1
shallow_03-21-2024_10-49.output,1
shallow_03-19-2024_11-58.output,1
shallow_03-22-2024_14-21.output,1
shallow_03-21-2024_15-19.output,1
