fname,reachOrNot
shallow_03-14-2025_12-53.output,0
shallow_03-11-2025_12-02.output,1
shallow_03-11-2025_11-33.output,1
shallow_03-14-2025_13-37.output,0
shallow_03-14-2025_13-58.output,1
shallow_03-14-2025_12-15.output,1
shallow_03-14-2025_14-19.output,0
shallow_03-14-2025_11-53.output,0
shallow_03-14-2025_13-15.output,0
