fname,reachOrNot
shallow_04-01-2024_10-44.output,1
shallow_04-03-2024_13-10.output,1
shallow_03-29-2024_12-29.output,1
shallow_04-03-2024_15-10.output,1
shallow_03-29-2024_10-02.output,1
shallow_03-29-2024_12-52.output,1
shallow_04-04-2024_13-38.output,1
shallow_04-04-2024_10-21.output,1
shallow_04-04-2024_10-42.output,1
shallow_04-03-2024_12-49.output,1
shallow_04-04-2024_12-43.output,1
shallow_04-04-2024_12-22.output,1
shallow_03-29-2024_12-05.output,1
shallow_03-28-2024_14-50.output,1
shallow_04-04-2024_14-08.output,1
shallow_04-04-2024_13-05.output,1
shallow_04-04-2024_11-08.output,1
shallow_04-03-2024_11-49.output,1
shallow_03-28-2024_11-42.output,1
shallow_04-03-2024_11-28.output,1
shallow_04-01-2024_09-36.output,1
shallow_03-28-2024_16-40.output,1
shallow_03-29-2024_13-36.output,1
shallow_03-29-2024_14-04.output,1
shallow_03-29-2024_11-44.output,1
shallow_04-02-2024_10-38.output,1
