fname,reachOrNot
gradient_11-30-2020_16-28.output,1
gradient_12-01-2020_16-05.output,0
gradient_11-30-2020_14-39.output,0
gradient_11-30-2020_17-12.output,0
gradient_12-01-2020_17-09.output,0
gradient_11-30-2020_15-01.output,0
gradient_11-30-2020_15-46.output,1
gradient_12-01-2020_15-44.output,0
gradient_12-01-2020_17-57.output,0
gradient_12-01-2020_17-36.output,1
gradient_12-01-2020_14-19.output,0
gradient_12-01-2020_15-01.output,0
gradient_11-30-2020_17-33.output,1
gradient_11-30-2020_15-24.output,0
gradient_11-30-2020_16-07.output,0
gradient_11-30-2020_17-54.output,0
gradient_12-01-2020_16-26.output,0
gradient_12-01-2020_15-23.output,1
gradient_12-01-2020_16-47.output,0
gradient_11-30-2020_16-50.output,0
