fname,reachOrNot
shallow_03-14-2024_14-14.output,1
shallow_03-14-2024_10-31.output,1
shallow_03-18-2024_16-24.output,1
shallow_03-15-2024_14-57.output,1
shallow_03-14-2024_15-22.output,1
shallow_03-14-2024_10-54.output,1
shallow_03-14-2024_15-43.output,1
shallow_03-18-2024_14-38.output,1
shallow_03-15-2024_14-33.output,1
shallow_03-14-2024_15-01.output,1
shallow_03-15-2024_11-55.output,1
shallow_03-15-2024_12-19.output,1
shallow_03-18-2024_15-20.output,1
shallow_03-18-2024_15-41.output,1
shallow_03-18-2024_14-59.output,1
shallow_03-14-2024_16-04.output,1
shallow_03-15-2024_14-11.output,1
shallow_03-14-2024_11-16.output,1
shallow_03-15-2024_13-50.output,1
shallow_03-14-2024_16-26.output,1
shallow_03-15-2024_16-00.output,1
shallow_03-15-2024_15-40.output,1
shallow_03-14-2024_13-52.output,1
shallow_03-14-2024_14-35.output,1
