fname,reachOrNot
shallow_03-28-2024_11-16.output,1
shallow_04-01-2024_13-43.output,1
shallow_04-01-2024_12-47.output,1
shallow_04-03-2024_10-40.output,0
shallow_03-27-2024_10-46.output,0
shallow_03-28-2024_10-32.output,1
shallow_04-02-2024_14-00.output,0
shallow_03-28-2024_15-11.output,1
shallow_04-02-2024_10-11.output,0
shallow_04-01-2024_12-18.output,0
shallow_04-02-2024_09-44.output,0
shallow_04-02-2024_15-06.output,0
shallow_04-02-2024_15-56.output,0
shallow_03-28-2024_13-16.output,0
shallow_03-28-2024_10-56.output,1
shallow_04-02-2024_15-29.output,1
shallow_04-03-2024_14-42.output,0
shallow_04-02-2024_14-44.output,1
shallow_04-03-2024_11-04.output,1
shallow_03-28-2024_16-19.output,0
shallow_04-02-2024_16-34.output,0
shallow_03-28-2024_12-06.output,0
shallow_04-01-2024_10-22.output,0
shallow_03-28-2024_12-30.output,0
shallow_03-28-2024_15-57.output,0
